business_name,categories,rating,address,price_range,url
Green Jade,"Chinese,Seafood",4,1109 W Windsor ,$,https://www.yelp.com/biz/green-jade-champaign?osq=Restaurants
Guido's Bar & Grill,"Bars,American (Traditional)",3,2 E Main St ,$$,https://www.yelp.com/biz/guidos-bar-and-grill-champaign?osq=Restaurants
Gulliver's,American (Traditional),0,2400 W Bradley Ave ,,https://www.yelp.com/biz/gullivers-champaign?osq=Restaurants
Hamilton Walker's,"Seafood,Steakhouses,Bars",3.5,201 N Neil St ,$$$,https://www.yelp.com/biz/hamilton-walkers-champaign?osq=Restaurants
Hank's Table,"Burgers,Fast Food,Cocktail Bars",3,122 N Neil St ,,https://www.yelp.com/biz/hanks-table-champaign?osq=Restaurants
Happy Wanderer,Restaurants,0,402 E Green St ,,https://www.yelp.com/biz/happy-wanderer-champaign?osq=Restaurants
Hardee's,American (New),2.5,1201 N Mattis Ave ,$,https://www.yelp.com/biz/hardees-champaign-2?osq=Restaurants
Hardee's,"Burgers,Fast Food",0,1806 W Bradley Ave ,,https://www.yelp.com/biz/hardees-champaign-4?osq=Restaurants
Hen House Family Restaurant,American (Traditional),3.5,74 State Rt 47 ,$,https://www.yelp.com/biz/hen-house-family-restaurant-mahomet?osq=Restaurants
Hooters,"American (Traditional),Sports Bars,Chicken Wings",2,1706 State St ,$$,https://www.yelp.com/biz/hooters-champaign?osq=Restaurants
Hot Wok Express,Chinese,3,1102 W University Ave ,$,https://www.yelp.com/biz/hot-wok-express-urbana?osq=Restaurants
Houlihan's,"American (New),Bars",3,1900 S 1st St ,$$,https://www.yelp.com/biz/houlihans-champaign-2?osq=Restaurants
Howdy Burger,"Burgers,Hot Dogs",3.5,625 E Green St ,,https://www.yelp.com/biz/howdy-burger-champaign?osq=Restaurants
Huaraches Moroleon,Mexican,4.5,805 Philo Rd ,$,https://www.yelp.com/biz/huaraches-moroleon-urbana?osq=Restaurants
I Wok,Chinese,4,113 Calvin St ,$,https://www.yelp.com/biz/i-wok-savoy?osq=Restaurants
Illini Inn,"Dive Bars,Pubs,Pizza",3.5,901 S 4th St ,$,https://www.yelp.com/biz/illini-inn-champaign?osq=Restaurants
Illini Union Ballroom Dining,American (Traditional),2.5,1404 W Green St ,$,https://www.yelp.com/biz/illini-union-ballroom-dining-urbana?osq=Restaurants
interlude,Restaurants,0,500 S Goodwin ,,https://www.yelp.com/biz/interlude-urbana?osq=Restaurants
Intermezzo Café,"Bakeries,American (Traditional)",3.5,500 S Goodwin Ave ,$,https://www.yelp.com/biz/intermezzo-caf%C3%A9-urbana-2?osq=Restaurants
ISR Dining Hall,Cafeteria,0,1010 W Illinois St ,,https://www.yelp.com/biz/isr-dining-hall-urbana?osq=Restaurants
