business_name,categories,rating,address,price_range,url
Casa Del Mar,"Seafood,Mexican",4,"2870 S Philo Rd , Illinois",,https://www.yelp.com/biz/casa-del-mar-urbana?osq=Restaurants
Casey's Carry Out Pizza,Pizza,2.5,"102 S Prairie View Rd , Illinois",$,https://www.yelp.com/biz/caseys-carry-out-pizza-mahomet?osq=Restaurants
Casey's Carry Out Pizza,Pizza,2.5,"2100 E University Ave , Illinois",$,https://www.yelp.com/biz/caseys-carry-out-pizza-urbana?osq=Restaurants
Casey's Carry Out Pizza,Pizza,0,"408 N Lincoln St , Illinois",,https://www.yelp.com/biz/caseys-carry-out-pizza-philo?osq=Restaurants
Casey's Carry Out Pizza,Pizza,0,"502 W Main St , Illinois",,https://www.yelp.com/biz/caseys-carry-out-pizza-sidney?osq=Restaurants
Casey's Carry Out Pizza,Pizza,0,"510 N Long St , Illinois",,https://www.yelp.com/biz/caseys-carry-out-pizza-tolono?osq=Restaurants
Casey's General Store,"Convenience Stores,Pizza,Gas Stations",5,"500 W Central Ave , Illinois",$,https://www.yelp.com/biz/caseys-general-store-thomasboro?osq=Restaurants
Cazuela de Mariscos,"Mexican,Seafood Markets",0,"510 N Cunningham Ave , Illinois",,https://www.yelp.com/biz/cazuela-de-mariscos-urbana?osq=Restaurants
Cheese and Crackers,"Chocolatiers & Shops,Delis,Seafood Markets",4,"1715 W Kirby , Illinois",$$,https://www.yelp.com/biz/cheese-and-crackers-champaign?osq=Restaurants
Chester's BBQ,"Food Trucks,Barbeque",4,"302 S Neil St , Illinois",$$,https://www.yelp.com/biz/chesters-bbq-champaign?osq=Restaurants
Chick-fil-A - Opening soon,Fast Food,3,"2301 N Prospect Ave , Illinois",,https://www.yelp.com/biz/chick-fil-a-opening-soon-champaign?osq=Restaurants
Chili's,"American (Traditional),Bars,Tex-Mex",3,"1905 N Prospect Ave , Illinois",$$,https://www.yelp.com/biz/chilis-champaign-3?osq=Restaurants
China Garden,Chinese,3.5,"114 N Vine St , Illinois",$,https://www.yelp.com/biz/china-garden-urbana?osq=Restaurants
